AT5G03240,AT3G14930
AT4G08300,AT3G48890
AT1G45145,AT1G11210
AT2G05520,AT1G21240
AT5G03240,AT4G34890
AT4G35580,AT5G63850
AT3G14840,AT4G20270
AT4G25660,AT5G45130
AT1G11210,AT5G47220
AT2G35940,AT1G19700
AT4G26080,AT5G53160
AT1G15570,AT1G76540
AT1G35560,AT5G23280
AT5G03240,AT4G02520
AT4G27040,AT5G04920
AT4G34460,AT5G22290
AT5G53450,AT2G41090
AT3G19100,AT2G41705
AT5G22290,AT5G60460
AT4G02570,AT4G02740
AT1G64230,AT5G03240
AT1G19670,AT1G57990
AT4G15420,AT5G03240
AT1G69640,AT3G17000
AT1G65790,AT3G07360
AT3G60640,AT2G02040
AT5G42980,AT5G45100
AT4G23400,AT5G15500
AT5G13220,AT3G43440
AT3G16830,AT1G13260
AT3G45290,AT2G41705
AT1G62290,AT4G36870
AT1G76150,AT2G42790
AT1G30270,AT5G57050
AT3G29270,AT4G13345
AT3G55740,AT4G37680
AT2G02760,AT5G03240
AT3G19290,AT3G50500
AT5G03240,AT5G29000
AT4G02520,AT2G02040
AT3G01670,AT5G41350
AT5G53160,AT3G11410
AT5G03240,AT3G05970
AT1G20880,AT3G14100
AT4G24990,AT5G53300
AT3G29034,AT4G37220
AT1G04240,AT4G05320
AT5G03240,AT2G01490
AT3G43440,AT5G46760
AT4G21650,AT3G46900
AT1G48630,AT5G41990
AT3G18130,AT4G34460
AT1G57540,AT3G21690
AT1G54040,AT4G23810
AT3G54140,AT1G21240
AT3G19820,AT1G18880
AT4G17730,AT2G21620
AT5G11060,AT2G16400
AT4G18240,AT4G22240
AT4G14716,AT2G06850
AT1G71050,AT3G29270
AT3G58120,AT1G43700
AT5G03240,AT3G02230
AT3G52850,AT5G60360
AT5G03240,AT3G27170
AT4G01840,AT5G58060
AT4G31330,AT4G30850
AT3G44220,AT5G22290
AT2G33250,AT4G37680
AT5G03240,AT5G58060
AT5G03240,AT3G16240
AT1G77000,AT4G02570
AT5G03240,AT2G42790
AT1G67860,AT4G00780
AT5G58140,AT1G14280
AT1G80300,AT2G41705
AT2G44100,AT4G35580
AT1G75630,AT5G22290
AT1G79270,AT2G20570
AT5G03240,AT2G05990
AT1G01010,AT1G75630
AT5G03240,AT4G14040
AT4G20270,AT5G46330
AT1G69870,AT4G37680
AT4G14400,AT5G46330
AT4G31840,AT4G30850
AT3G27210,AT3G17840
AT3G15880,AT5G42530
AT3G01660,AT5G22290
AT4G20300,AT4G26450
AT3G50910,AT5G51560
AT3G11397,AT3G29270
AT2G18350,AT5G39760
AT2G17290,AT5G42370
AT2G41090,AT4G23170
AT5G03240,AT2G25110
AT1G70300,AT1G29060
AT5G01820,AT1G77450
AT5G22290,AT5G43460
AT3G45290,AT1G21240
AT5G03240,AT3G26450
AT1G18880,AT1G29060
AT1G26910,AT5G03240
AT3G48740,AT4G15920
AT4G14716,AT4G34460
AT3G47620,AT4G30750
AT4G17730,AT2G23090
AT4G13530,AT1G29060
AT5G42980,AT5G60360
AT3G13950,AT3G48890
AT4G11320,AT4G35580
AT1G18880,AT1G21240
AT1G55920,AT3G13110
AT1G27300,AT3G63200
AT1G27300,AT5G05760
AT3G54140,AT2G41705
AT5G43760,AT1G45145
AT2G41100,AT4G08980
AT4G34000,AT4G26080
AT3G47620,AT5G18260
AT4G17730,AT5G20230
AT4G35580,AT5G44550
AT1G03950,AT5G42370
AT4G17730,AT4G14710
AT5G11060,AT1G62990
AT1G44100,AT5G63030
AT5G27150,AT1G19450
AT3G17000,AT4G13510
AT5G03240,AT1G63310
AT1G65720,AT1G62200
AT1G72030,AT5G47860
AT4G13640,AT5G27840
AT4G27950,AT3G16360
AT5G03240,AT5G01610
AT5G03240,AT1G52400
AT5G39730,AT2G29090
AT3G50500,AT5G57050
AT5G03240,AT2G22480
AT3G16830,AT4G14560
AT3G47620,AT4G23470
AT3G47640,AT5G13810
AT2G04080,AT4G37680
AT5G03240,AT2G31390
AT1G08890,AT1G45145
AT1G80300,AT4G30850
AT5G41410,AT1G62990
AT5G03240,AT1G59580
AT1G49720,AT3G11410
AT1G05070,AT1G27300
AT2G31270,AT3G48750
AT1G01010,AT3G57090
AT1G52040,AT5G03240
AT5G03240,AT5G54190
AT3G03000,AT3G47620
AT3G15880,AT1G72450
AT1G32230,AT3G04060
AT3G11510,AT5G03240
AT5G15860,AT5G03240
AT3G27170,AT2G24762
AT4G31840,AT3G48890
AT5G15500,AT2G41705
AT4G25660,AT4G27610
AT5G03240,AT5G43780
AT5G24470,AT5G58350
AT1G35210,AT5G14640
AT1G70300,AT3G17000
AT1G01360,AT5G57050
AT4G00355,AT1G52870
AT1G19450,AT4G35580
AT1G31820,AT2G24762
AT1G67860,AT4G25660
AT5G28020,AT5G54390
AT1G75630,AT4G26450
AT5G05790,AT1G68160
AT4G37220,AT1G21240
AT4G18830,AT4G36870
AT5G03240,AT2G21050
AT3G21690,AT5G22290
AT5G46760,AT1G25540
AT3G20570,AT4G23010
AT1G71480,AT4G25660
AT1G45145,AT3G21690
AT4G16670,AT5G01820
AT3G50500,AT1G13260
AT1G75380,AT5G40670
AT1G72450,AT5G46760
AT5G03240,AT1G06400
AT2G01680,AT1G29060
AT2G16740,AT5G19080
AT3G16830,AT3G21890
AT2G47600,AT2G39890
AT4G12730,AT1G79940
AT1G71190,AT2G41705
AT5G12480,AT3G17000
AT2G02040,AT1G21240
AT5G06150,AT5G13840
AT5G03240,AT5G54430
AT5G03240,AT1G70810
AT5G20230,AT2G41705
AT2G46550,AT5G01820
AT3G57090,AT5G22290
AT4G36180,AT1G29060
AT1G33110,AT4G35580
AT1G67860,AT3G29270
AT2G24540,AT2G41090
AT4G24990,AT1G64230
AT2G35940,AT1G62990
AT4G30660,AT3G17000
AT1G65720,AT5G16530
AT2G31090,AT4G37680
AT2G41100,AT3G20080
AT4G30850,AT3G53190
AT5G22290,AT5G45130
AT5G01960,AT3G17000
AT2G41090,AT4G08980
AT3G27960,AT3G45210
AT5G41700,AT4G24990
AT2G04050,AT4G01010
AT4G13770,AT3G48890
AT3G43230,AT5G16840
AT5G08190,AT3G12480
AT5G03240,AT5G64410
AT5G64170,AT5G02840
AT1G15880,AT5G22290
AT1G67865,AT4G25660
AT2G20920,AT3G50910
AT2G43700,AT1G29060
AT2G43850,AT2G02040
AT5G03240,AT2G06850
AT2G20180,AT2G32700
AT4G18240,AT3G46940
AT1G11910,AT5G11060
AT2G41090,AT3G01970
AT4G26080,AT4G11280
AT3G06170,AT4G37680
AT1G75410,AT2G16400
AT5G03240,AT4G29810
AT2G42740,AT5G03240
AT5G41700,AT5G03240
AT3G28920,AT2G18350
AT5G13800,AT3G44880
AT5G03240,AT5G56120
AT5G64560,AT1G29060
AT4G35760,AT5G45040
AT2G04690,AT5G22290
AT1G29120,AT3G01670
AT4G20940,AT4G30850
AT2G19830,AT5G22950
AT3G60300,AT2G16740
AT3G03000,AT5G20720
AT3G16830,AT2G33550
AT4G30660,AT3G48890
AT5G03240,AT3G62290
AT3G56200,AT4G13530
AT4G22920,AT3G44880
AT5G59680,AT1G71830
AT1G72730,AT5G03240
AT1G26800,AT3G54140
AT3G11410,AT5G51190
AT1G18080,AT4G15000
AT5G22290,AT5G22340
AT1G01240,AT5G01820
AT1G52200,AT3G47620
AT1G19570,AT5G40670
AT1G62990,AT3G47620
AT5G41560,AT1G01360
AT1G27320,AT1G03430
AT1G12810,AT3G02150
AT5G61500,AT4G16520
AT5G02620,AT4G30850
AT1G27300,AT5G12390
AT5G61960,AT3G08850
AT3G54840,AT1G19450
AT5G03240,AT5G63620
AT5G12480,AT1G45145
AT5G13220,AT1G72450
AT1G02205,AT2G46650
AT3G16830,AT5G17300
AT3G13520,AT4G26450
AT1G27300,AT3G54820
AT5G03240,AT5G42980
AT5G03240,AT4G26080
AT4G13345,AT4G35580
AT1G29810,AT3G27960
AT5G03240,AT5G60660
AT2G19650,AT5G01820
AT5G03240,AT5G17380
AT4G26080,AT1G01360
AT3G60240,AT5G18110
AT1G15570,AT3G48750
AT5G03240,AT3G18130
AT4G18780,AT5G44030
AT3G63310,AT1G29060
AT1G62290,AT2G35940
AT4G11320,AT5G22290
AT4G25480,AT3G19290
AT1G80830,AT1G29060
AT5G03240,AT5G55860
AT2G16850,AT4G26450
AT1G08450,AT4G39400
AT3G18710,AT4G21380
AT4G34160,AT2G23430
AT3G43440,AT4G17880
AT2G14750,AT4G39940
AT1G70700,AT5G13220
AT1G14340,AT3G57090
AT2G16740,AT3G18710
AT5G08050,AT3G52070
AT1G21410,AT4G02570
