AT3G12040,AT5G54960
AT3G28690,AT5G47560
AT2G35960,AT5G65683
AT5G37600,AT5G53120
AT1G10640,AT1G15570
AT2G42890,AT4G14020
AT3G23280,AT5G53120
AT3G49010,AT4G10450
AT3G51660,AT5G14640
AT5G03200,AT5G66790
AT1G77370,AT2G05840
AT3G10410,AT4G19040
AT1G71040,AT1G76460
AT4G05530,AT5G58060
AT2G39780,AT5G13550
AT5G39030,AT5G40240
AT1G21920,AT3G51000
AT1G35190,AT3G26180
AT1G02305,AT1G11700
AT3G16850,AT5G25610
AT3G17810,AT4G13530
AT5G01820,AT5G53350
AT1G54575,AT5G64430
AT3G14620,AT5G58950
AT4G19040,AT5G67245
AT3G46900,AT5G07830
AT1G32230,AT3G52710
AT3G52710,AT4G35750
AT1G04800,AT5G18430
AT1G22040,AT5G41410
AT1G10865,AT4G28390
AT3G03520,AT5G57815
AT4G04800,AT5G05110
AT1G22040,AT4G15540
AT4G32940,AT5G36220
AT1G65960,AT1G73470
AT1G55850,AT4G23140
AT2G02760,AT4G15540
AT2G13610,AT4G08040
AT3G15580,AT5G60360
AT1G64900,AT5G41700
AT3G13810,AT5G03240
AT2G43060,AT5G51750
AT2G25450,AT2G33770
AT1G80280,AT5G20630
AT1G09240,AT3G26180
AT1G65230,AT4G23400
AT2G39050,AT4G04470
AT1G55920,AT5G41400
AT2G31380,AT4G23300
AT1G50420,AT4G01610
AT3G11410,AT5G41400
AT4G11360,AT5G55970
AT2G27720,AT5G16130
AT5G02760,AT5G26330
AT1G33110,AT2G42890
AT1G33270,AT4G39925
AT2G31110,AT4G14020
AT5G18430,AT5G45960
AT1G64950,AT2G01540
AT1G10140,AT2G27190
AT2G20900,AT4G17790
AT3G57680,AT5G54080
AT3G09390,AT5G35560
AT1G22500,AT1G74940
AT2G27830,AT4G38240
AT1G22040,AT1G73950
AT3G26230,AT4G15530
AT1G18810,AT2G25080
AT1G09240,AT5G63905
AT1G09240,AT3G45300
AT1G65800,AT5G41700
AT1G55280,AT3G59950
AT1G13990,AT1G62040
AT1G09200,AT5G10770
AT1G73950,AT4G23800
AT1G66240,AT5G19590
AT4G29210,AT5G40780
AT2G23610,AT5G02180
AT3G05060,AT3G58660
AT2G33770,AT3G53410
AT2G23090,AT5G07470
AT5G13180,AT5G39610
AT4G26450,AT5G11600
AT2G43540,AT4G30270
AT3G24200,AT4G33540
AT2G04240,AT4G30530
AT2G26800,AT5G58060
AT1G05690,AT1G52800
AT1G21680,AT4G26160
AT2G22660,AT5G35460
AT4G15530,AT5G46880
AT1G13650,AT3G52710
AT1G73950,AT4G15540
AT2G41090,AT4G14400
AT1G76590,AT3G23810
AT2G28720,AT5G11840
AT4G23800,AT4G29210
AT1G76150,AT2G38790
AT3G53410,AT5G19860
AT2G38800,AT4G21580
AT1G03290,AT1G10140
AT1G14880,AT4G03450
AT2G33770,AT5G27280
AT3G45010,AT4G17790
AT1G03380,AT2G02360
AT1G33110,AT4G17830
AT1G18250,AT1G69720
AT4G16210,AT5G63030
AT3G01100,AT3G01470
AT4G30270,AT5G39610
AT5G50400,AT5G52880
AT1G35190,AT5G05760
AT3G28050,AT4G09830
